scholarship,university_transport,has_laptop,has_consulted_teacher,co_curricular,health_issues,study_hours,study_sessions,on_probation,is_suspended,skills_development_hours,current_gpa,performance_group,social_risk,gpa_improvement,study_time_per_Session,learning_mode_Offline,learning_mode_Online,english_proficiency_Advance,english_proficiency_Basic,english_proficiency_Intermediate,living_arrangement_Bachelor,living_arrangement_Family,attendance_bin_Low,attendance_bin_Medium,attendance_bin_High,income_bin_Low,income_bin_Medium,income_bin_High
1,0,1,1,1,1,5.0,2.0,0,0,2.0,3.92,Excellent,0.4,0.06000000000000005,2.5,1,0,1,0,0,1,0,0,0,1,1,0,0
0,0,1,1,1,0,3.0,1.0,0,0,1.0,3.0406118143459917,Poor,1.0,-0.9593881856540083,3.0,1,0,0,0,1,1,0,0,1,0,1,0,0
0,0,1,0,1,0,1.0,2.0,1,0,1.0,3.4,Average,2.0,0.2999999999999998,0.5,0,1,0,0,1,1,0,0,0,1,1,0,0
1,0,1,1,0,1,1.0,2.0,0,0,1.0,3.65,Average,1.0,-0.03000000000000025,0.5,1,0,0,1,0,0,1,0,0,1,0,1,0
1,1,1,1,0,0,7.0,2.0,0,0,0.0,3.4,Poor,0.42857142857142855,0.0,3.5,1,0,0,1,0,0,1,1,0,0,1,0,0
1,1,1,1,0,1,4.0,2.0,0,0,2.0,2.95,Poor,0.5,0.5,2.0,1,0,1,0,0,0,1,1,0,0,0,1,0
0,1,1,1,0,0,2.5,2.0,1,0,1.0,2.89,Poor,1.2,0.4900000000000002,1.25,1,0,0,0,1,0,1,0,1,0,1,0,0
1,1,1,1,1,0,4.5,2.0,0,0,3.0,3.2,Good,0.2222222222222222,-0.27,2.25,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1,1,0,0,0,1.0,1.0,0,0,1.0,3.05,Average,1.0,0.52,1.0,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,0,1,1,1,1.0,1.0,1,0,1.0,2.72,Poor,3.0,0.16000000000000014,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,2.5,2.0,1,0,2.0,2.56,Poor,0.4,0.20000000000000018,1.25,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1,1,1,0,0,2.5,2.0,0,0,1.0,2.73,Poor,0.4,-0.45999999999999996,1.25,0,1,0,0,1,1,0,0,0,1,1,0,0
0,1,1,0,0,0,6.0,3.0,0,0,2.0,3.07,Average,0.3333333333333333,-0.03000000000000025,2.0,1,0,0,1,0,0,1,0,0,1,0,1,0
1,0,1,0,1,0,4.5,2.0,0,0,2.0,3.0,Average,1.1111111111111112,-0.2799999999999998,2.25,1,0,0,0,1,1,0,0,0,1,0,1,0
1,0,1,1,1,0,5.0,2.0,0,0,1.0,3.6,Good,0.6,0.0,2.5,1,0,0,1,0,1,0,0,0,1,1,0,0
1,0,1,1,0,0,3.5,1.0,0,0,1.0,3.7,Good,0.2857142857142857,-0.04999999999999982,3.5,1,0,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,1.0,1.0,0,0,2.0,3.92,Average,3.0,0.06999999999999984,1.0,0,1,0,0,1,0,1,0,0,1,1,0,0
1,1,1,0,0,0,3.5,2.0,0,0,1.0,2.68,Poor,0.5714285714285714,0.0,1.75,1,0,0,1,0,0,1,0,0,1,0,1,0
1,0,1,1,0,0,3.0,2.0,0,0,3.0,3.18,Average,0.3333333333333333,0.0,1.5,0,1,0,0,1,1,0,0,0,1,1,0,0
1,0,1,1,0,0,2.0,1.0,0,0,2.0,3.4,Good,0.5,0.009999999999999787,2.0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,0,1,1,0,1,3.5,1.0,0,0,1.0,3.38,Good,1.1428571428571428,0.3999999999999999,3.5,0,1,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,7.0,2.0,1,0,5.0,3.39,Good,0.42857142857142855,-0.31000000000000005,3.5,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1,1,1,0,0,1.0,2.0,1,0,2.0,2.95,Average,2.0,-0.2999999999999998,0.5,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,1,0,0,0,2.5,1.0,0,0,1.0,3.21,Good,1.2,0.18000000000000016,2.5,0,1,0,1,0,0,1,0,0,1,1,0,0
